Hitters,1B,2B,3B,BB,FO,GO,HBP,HR,K,LO
Beckstein,3,0,0,2,5,2,0,0,2,4
Bosland,3,0,0,2,1,0,0,0,5,0
Bozzo,0,2,0,4,0,2,0,0,5,0
Brinker,1,0,0,2,0,0,2,0,6,1
Crossen,1,0,0,2,2,0,0,0,5,2
Doyle,6,0,0,4,4,2,2,0,4,0
Feinberg,2,2,0,4,1,0,2,0,5,0
Jarvis,1,0,0,0,2,0,0,0,5,0
Lane,2,0,0,2,4,3,2,2,0,0
Macgregor,4,0,0,0,1,1,0,0,6,0
Maldonado,3,2,0,2,2,0,0,0,6,0
Masiuk,4,0,0,2,0,1,2,0,3,0
McGee,0,0,0,0,2,0,0,0,0,0
Mcgee,2,0,2,0,0,0,0,0,6,0
Sirota,2,2,1,6,2,0,0,1,4,0
Smith,9,0,0,0,2,0,0,0,6,0
Sullivan,0,0,0,2,1,0,0,0,7,0
Thorbahn,0,0,0,0,6,2,2,0,8,0