Hitters,1B,2B,3B,BB,FO,GO,HBP,HR,K,LO
player1,3,0,0,2,5,2,0,0,2,4
player2,3,0,0,2,1,0,0,0,5,0
player3,0,2,0,4,0,2,0,0,5,0
player4,1,0,0,2,0,0,2,0,6,1
player5,1,0,0,2,2,0,0,0,5,2
player6,6,0,0,4,4,2,2,0,4,0
player7,2,2,0,4,1,0,2,0,5,0
player8,1,0,0,0,2,0,0,0,5,0
player9,2,0,0,2,4,3,2,2,0,0
player10,4,0,0,0,1,1,0,0,6,0
player11,3,2,0,2,2,0,0,0,6,0
player12,4,0,0,2,0,1,2,0,3,0
player13,0,0,0,0,2,0,0,0,0,0
player14,2,0,2,0,0,0,0,0,6,0
player15,2,2,1,6,2,0,0,1,4,0
player16,9,0,0,0,2,0,0,0,6,0
player17,0,0,0,2,1,0,0,0,7,0
player18,0,0,0,0,6,2,2,0,8,0