Rk,Team,Runs Prevented,OAA,In,To Player's Right,To Player's Left,Back,RHB,LHB,Success Rate,Estimated Success Rate,Success Rate Added
1,D-backs,38,44,22,13,-4,13,26,18,80%,78%,2%
2,Astros,30,36,18,-7,17,7,24,12,80%,79%,1%
3,Padres,28,33,14,7,6,6,20,13,80%,79%,1%
4,Cardinals,20,26,16,-2,6,5,27,-1,79%,79%,0%
5,Guardians,17,21,6,18,-2,0,18,3,80%,79%,1%
6,Yankees,16,20,-12,20,10,2,14,6,81%,80%,1%
7,Mets,10,12,14,-4,-5,7,17,-5,78%,77%,1%
8,Tigers,8,12,10,10,-5,-4,1,11,79%,79%,0%
9,Dodgers,8,8,0,5,4,-1,4,4,80%,80%,0%
10,Braves,4,7,9,10,-10,-2,1,7,79%,79%,0%
11,Blue Jays,4,6,-2,3,-4,9,1,4,79%,79%,0%
12,Marlins,2,5,6,2,3,-7,0,5,79%,79%,0%
13,Brewers,4,4,-3,7,-3,3,-3,6,79%,79%,0%
14,Mariners,3,2,1,7,-9,3,-3,5,80%,80%,0%
15,Orioles,1,2,-7,-2,7,5,-6,8,78%,78%,0%
16,Rays,4,1,-1,-5,2,4,-4,5,80%,80%,0%
17,Royals,2,1,5,-5,-3,4,-3,4,77%,77%,0%
18,Angels,1,0,1,-3,-6,7,-12,12,80%,80%,0%
19,Rockies,-4,-2,7,6,-13,-3,-2,0,77%,77%,0%
20,Athletics,-4,-4,6,5,-10,-5,-11,7,79%,79%,0%
21,Rangers,-4,-6,6,-5,-6,0,-7,1,78%,78%,0%
22,Red Sox,-11,-12,3,-5,-6,-4,-7,-5,78%,78%,0%
23,Twins,-9,-16,-6,-1,-5,-3,-11,-5,79%,80%,-1%
24,White Sox,-16,-17,-9,1,-9,0,-13,-4,78%,78%,0%
25,Reds,-16,-21,-7,-5,-8,-1,-24,2,78%,78%,0%
26,Pirates,-19,-22,-3,3,-16,-5,2,-24,77%,78%,-1%
27,Cubs,-19,-23,-6,-2,-14,-1,-17,-6,78%,79%,-1%
28,Giants,-29,-33,-2,-4,-19,-8,-13,-21,76%,77%,-1%
29,Phillies,-29,-34,-3,-14,-13,-4,-18,-16,77%,78%,-1%
30,Nationals,-40,-50,-9,-21,-21,1,-30,-20,77%,79%,-2%